Date,Open,Stock
2021-01-04,133.520004,AAPL
2021-01-05,128.889999,AAPL
2021-01-06,127.720001,AAPL
2021-01-07,128.360001,AAPL
2021-01-08,132.429993,AAPL
2021-01-11,129.190002,AAPL
2021-01-12,128.5,AAPL
2021-01-13,128.759995,AAPL
2021-01-14,130.800003,AAPL
2021-01-15,128.779999,AAPL
2021-01-19,127.779999,AAPL
2021-01-20,128.660004,AAPL
2021-01-21,133.800003,AAPL
2021-01-22,136.279999,AAPL
2021-01-25,143.070007,AAPL
2021-01-26,143.600006,AAPL
2021-01-27,143.429993,AAPL
2021-01-28,139.520004,AAPL
2021-01-29,135.830002,AAPL
2021-02-01,133.75,AAPL
2021-02-02,135.729996,AAPL
2021-02-03,135.759995,AAPL
2021-02-04,136.300003,AAPL
2021-02-05,137.350006,AAPL
2021-02-08,136.029999,AAPL
2021-02-09,136.619995,AAPL
2021-02-10,136.479996,AAPL
2021-02-11,135.899994,AAPL
2021-02-12,134.350006,AAPL
2021-02-16,135.490005,AAPL
2021-02-17,131.25,AAPL
2021-02-18,129.199997,AAPL
2021-02-19,130.240005,AAPL
2021-02-22,128.009995,AAPL
2021-02-23,123.760002,AAPL
2021-02-24,124.940002,AAPL
2021-02-25,124.68,AAPL
2021-02-26,122.589996,AAPL
2021-03-01,123.75,AAPL
2021-03-02,128.410004,AAPL
2021-03-03,124.809998,AAPL
2021-03-04,121.75,AAPL
2021-03-05,120.980003,AAPL
2021-03-08,120.93,AAPL
2021-03-09,119.029999,AAPL
2021-03-10,121.690002,AAPL
2021-03-11,122.540001,AAPL
2021-03-12,120.400002,AAPL
2021-03-15,121.410004,AAPL
2021-03-16,125.699997,AAPL
2021-03-17,124.050003,AAPL
2021-03-18,122.879997,AAPL
2021-03-19,119.900002,AAPL
2021-03-22,120.330002,AAPL
2021-03-23,123.330002,AAPL
2021-03-24,122.82,AAPL
2021-03-25,119.540001,AAPL
2021-03-26,120.349998,AAPL
2021-03-29,121.650002,AAPL
2021-03-30,120.110001,AAPL
2021-03-31,121.650002,AAPL
2021-04-01,123.660004,AAPL
2021-04-05,123.870003,AAPL
2021-04-06,126.5,AAPL
2021-04-07,125.830002,AAPL
2021-04-08,128.949997,AAPL
2021-04-09,129.800003,AAPL
2021-04-12,132.520004,AAPL
2021-04-13,132.440002,AAPL
2021-04-14,134.940002,AAPL
2021-04-15,133.820007,AAPL
2021-04-16,134.300003,AAPL
2021-04-19,133.509995,AAPL
2021-04-20,135.020004,AAPL
2021-04-21,132.360001,AAPL
2021-01-04,3270.0,AMZN
2021-01-05,3166.01001,AMZN
2021-01-06,3146.47998,AMZN
2021-01-07,3157.0,AMZN
2021-01-08,3180.0,AMZN
2021-01-11,3148.01001,AMZN
2021-01-12,3120.0,AMZN
2021-01-13,3128.439941,AMZN
2021-01-14,3167.52002,AMZN
2021-01-15,3123.02002,AMZN
2021-01-19,3107.0,AMZN
2021-01-20,3181.98999,AMZN
2021-01-21,3293.0,AMZN
2021-01-22,3304.310059,AMZN
2021-01-25,3328.5,AMZN
2021-01-26,3296.360107,AMZN
2021-01-27,3341.48999,AMZN
2021-01-28,3235.040039,AMZN
2021-01-29,3230.0,AMZN
2021-02-01,3242.360107,AMZN
2021-02-02,3380.0,AMZN
2021-02-03,3425.01001,AMZN
2021-02-04,3330.0,AMZN
2021-02-05,3319.0,AMZN
2021-02-08,3358.5,AMZN
2021-02-09,3312.48999,AMZN
2021-02-10,3314.0,AMZN
2021-02-11,3292.0,AMZN
2021-02-12,3250.0,AMZN
2021-02-16,3254.050049,AMZN
2021-02-17,3263.600098,AMZN
2021-02-18,3282.419922,AMZN
2021-02-19,3328.22998,AMZN
2021-02-22,3208.129883,AMZN
2021-02-23,3127.030029,AMZN
2021-02-24,3166.75,AMZN
2021-02-25,3136.73999,AMZN
2021-02-26,3095.199951,AMZN
2021-03-01,3127.889893,AMZN
2021-03-02,3143.469971,AMZN
2021-03-03,3081.179932,AMZN
2021-03-04,3012.0,AMZN
2021-03-05,3005.0,AMZN
2021-03-08,3015.0,AMZN
2021-03-09,3017.98999,AMZN
